task_id,category,N,w_ratio,w_C,w_A,r_min,seed,r_selected,y,V_selected,brier,gate_cleared
arith_easy_01,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_02,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_03,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_04,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_05,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_06,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_easy_07,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_08,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_09,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_easy_10,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_11,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_12,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_easy_13,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_14,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_15,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_easy_16,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_17,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_18,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_easy_19,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_20,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_hard_01,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_02,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_03,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_hard_04,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_hard_05,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_06,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_07,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_hard_08,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_09,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_10,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_hard_11,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_12,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_13,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_14,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_15,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_16,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_17,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_18,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_19,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_20,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_common_01,factual_common,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
fact_common_02,factual_common,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
fact_common_03,factual_common,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_common_04,factual_common,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_common_05,factual_common,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_common_06,factual_common,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_common_07,factual_common,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_common_08,factual_common,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
fact_common_09,factual_common,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
fact_common_10,factual_common,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_common_11,factual_common,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_common_12,factual_common,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
fact_common_13,factual_common,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
fact_common_14,factual_common,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_common_15,factual_common,1,0,1.0,0.0,0.5,2004,0.95,0,-0.9025,0.9025,1
fact_obscure_01,factual_obscure,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_obscure_02,factual_obscure,1,0,1.0,0.0,0.5,2004,,,,,
fact_obscure_03,factual_obscure,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_obscure_04,factual_obscure,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
fact_obscure_05,factual_obscure,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_obscure_06,factual_obscure,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_obscure_07,factual_obscure,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
fact_obscure_08,factual_obscure,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_obscure_09,factual_obscure,1,0,1.0,0.0,0.5,2004,0.95,0,-0.9025,0.9025,1
fact_obscure_10,factual_obscure,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
fact_obscure_11,factual_obscure,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_obscure_12,factual_obscure,1,0,1.0,0.0,0.5,2004,0.95,0,-0.9025,0.9025,1
fact_obscure_13,factual_obscure,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_obscure_14,factual_obscure,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
fact_obscure_15,factual_obscure,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_01,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_02,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_03,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_04,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_05,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_06,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_07,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_08,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_09,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_10,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_11,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_12,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_13,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_14,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_simple_15,code_simple,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_01,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_02,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_03,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_04,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_05,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_06,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_07,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_08,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_09,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_10,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_11,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_12,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_13,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_14,code_algorithmic,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
code_algo_15,code_algorithmic,1,0,1.0,0.0,0.5,2004,0.95,0,-0.9025,0.9025,1
