N,w_ratio,r_min,seed,mean_inflation,mean_inflation_binding,mean_inflation_nonbinding,n_binding,n_nonbinding
1,0.0,0.5,0,0.7065656565656566,0.987857142857143,0.02758620689655173,70,29
1,0.0,0.5,42,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
1,0.0,0.5,123,0.7095,0.9880281690140846,0.02758620689655173,71,29
1,0.0,0.5,456,0.7045454545454546,0.985,0.02758620689655173,70,29
1,0.0,0.5,789,0.7060606060606062,0.9871428571428572,0.02758620689655173,70,29
1,0.0,0.7,0,0.7065656565656566,0.9795774647887325,0.01428571428571429,71,28
1,0.0,0.7,42,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
1,0.0,0.7,123,0.7095,0.9798611111111113,0.01428571428571429,72,28
1,0.0,0.7,456,0.7045454545454546,0.9767605633802818,0.01428571428571429,71,28
1,0.0,0.7,789,0.7060606060606062,0.97887323943662,0.01428571428571429,71,28
1,0.0,0.9,0,0.7065656565656566,0.956849315068493,0.0038461538461538494,73,26
1,0.0,0.9,42,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
1,0.0,0.9,123,0.7095,0.9574324324324324,0.0038461538461538494,74,26
1,0.0,0.9,456,0.7045454545454546,0.954109589041096,0.0038461538461538494,73,26
1,0.0,0.9,789,0.7060606060606062,0.956164383561644,0.0038461538461538494,73,26
1,0.25,0.5,0,0.7065656565656566,0.987857142857143,0.02758620689655173,70,29
1,0.25,0.5,42,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
1,0.25,0.5,123,0.7095,0.9880281690140846,0.02758620689655173,71,29
1,0.25,0.5,456,0.7045454545454546,0.985,0.02758620689655173,70,29
1,0.25,0.5,789,0.7060606060606062,0.9871428571428572,0.02758620689655173,70,29
1,0.25,0.7,0,0.7065656565656566,0.9795774647887325,0.01428571428571429,71,28
1,0.25,0.7,42,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
1,0.25,0.7,123,0.7095,0.9798611111111113,0.01428571428571429,72,28
1,0.25,0.7,456,0.7045454545454546,0.9767605633802818,0.01428571428571429,71,28
1,0.25,0.7,789,0.7060606060606062,0.97887323943662,0.01428571428571429,71,28
1,0.25,0.9,0,0.7065656565656566,0.956849315068493,0.0038461538461538494,73,26
1,0.25,0.9,42,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
1,0.25,0.9,123,0.7095,0.9574324324324324,0.0038461538461538494,74,26
1,0.25,0.9,456,0.7045454545454546,0.954109589041096,0.0038461538461538494,73,26
1,0.25,0.9,789,0.7060606060606062,0.956164383561644,0.0038461538461538494,73,26
1,0.5,0.5,0,0.7065656565656566,0.987857142857143,0.02758620689655173,70,29
1,0.5,0.5,42,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
1,0.5,0.5,123,0.7095,0.9880281690140846,0.02758620689655173,71,29
1,0.5,0.5,456,0.7045454545454546,0.985,0.02758620689655173,70,29
1,0.5,0.5,789,0.7060606060606062,0.9871428571428572,0.02758620689655173,70,29
1,0.5,0.7,0,0.7065656565656566,0.9795774647887325,0.01428571428571429,71,28
1,0.5,0.7,42,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
1,0.5,0.7,123,0.7095,0.9798611111111113,0.01428571428571429,72,28
1,0.5,0.7,456,0.7045454545454546,0.9767605633802818,0.01428571428571429,71,28
1,0.5,0.7,789,0.7060606060606062,0.97887323943662,0.01428571428571429,71,28
1,0.5,0.9,0,0.7065656565656566,0.956849315068493,0.0038461538461538494,73,26
1,0.5,0.9,42,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
1,0.5,0.9,123,0.7095,0.9574324324324324,0.0038461538461538494,74,26
1,0.5,0.9,456,0.7045454545454546,0.954109589041096,0.0038461538461538494,73,26
1,0.5,0.9,789,0.7060606060606062,0.956164383561644,0.0038461538461538494,73,26
1,1.0,0.5,0,0.7065656565656566,0.987857142857143,0.02758620689655173,70,29
1,1.0,0.5,42,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
1,1.0,0.5,123,0.7095,0.9880281690140846,0.02758620689655173,71,29
1,1.0,0.5,456,0.7045454545454546,0.985,0.02758620689655173,70,29
1,1.0,0.5,789,0.7060606060606062,0.9871428571428572,0.02758620689655173,70,29
1,1.0,0.7,0,0.7065656565656566,0.9795774647887325,0.01428571428571429,71,28
1,1.0,0.7,42,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
1,1.0,0.7,123,0.7095,0.9798611111111113,0.01428571428571429,72,28
1,1.0,0.7,456,0.7045454545454546,0.9767605633802818,0.01428571428571429,71,28
1,1.0,0.7,789,0.7060606060606062,0.97887323943662,0.01428571428571429,71,28
1,1.0,0.9,0,0.7065656565656566,0.956849315068493,0.0038461538461538494,73,26
1,1.0,0.9,42,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
1,1.0,0.9,123,0.7095,0.9574324324324324,0.0038461538461538494,74,26
1,1.0,0.9,456,0.7045454545454546,0.954109589041096,0.0038461538461538494,73,26
1,1.0,0.9,789,0.7060606060606062,0.956164383561644,0.0038461538461538494,73,26
1,2.0,0.5,0,0.7065656565656566,0.987857142857143,0.02758620689655173,70,29
1,2.0,0.5,42,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
1,2.0,0.5,123,0.7095,0.9880281690140846,0.02758620689655173,71,29
1,2.0,0.5,456,0.7045454545454546,0.985,0.02758620689655173,70,29
1,2.0,0.5,789,0.7060606060606062,0.9871428571428572,0.02758620689655173,70,29
1,2.0,0.7,0,0.7065656565656566,0.9795774647887325,0.01428571428571429,71,28
1,2.0,0.7,42,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
1,2.0,0.7,123,0.7095,0.9798611111111113,0.01428571428571429,72,28
1,2.0,0.7,456,0.7045454545454546,0.9767605633802818,0.01428571428571429,71,28
1,2.0,0.7,789,0.7060606060606062,0.97887323943662,0.01428571428571429,71,28
1,2.0,0.9,0,0.7065656565656566,0.956849315068493,0.0038461538461538494,73,26
1,2.0,0.9,42,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
1,2.0,0.9,123,0.7095,0.9574324324324324,0.0038461538461538494,74,26
1,2.0,0.9,456,0.7045454545454546,0.954109589041096,0.0038461538461538494,73,26
1,2.0,0.9,789,0.7060606060606062,0.956164383561644,0.0038461538461538494,73,26
1,4.0,0.5,0,0.7065656565656566,0.987857142857143,0.02758620689655173,70,29
1,4.0,0.5,42,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
1,4.0,0.5,123,0.7095,0.9880281690140846,0.02758620689655173,71,29
1,4.0,0.5,456,0.7045454545454546,0.985,0.02758620689655173,70,29
1,4.0,0.5,789,0.7060606060606062,0.9871428571428572,0.02758620689655173,70,29
1,4.0,0.7,0,0.7065656565656566,0.9795774647887325,0.01428571428571429,71,28
1,4.0,0.7,42,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
1,4.0,0.7,123,0.7095,0.9798611111111113,0.01428571428571429,72,28
1,4.0,0.7,456,0.7045454545454546,0.9767605633802818,0.01428571428571429,71,28
1,4.0,0.7,789,0.7060606060606062,0.97887323943662,0.01428571428571429,71,28
1,4.0,0.9,0,0.7065656565656566,0.956849315068493,0.0038461538461538494,73,26
1,4.0,0.9,42,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
1,4.0,0.9,123,0.7095,0.9574324324324324,0.0038461538461538494,74,26
1,4.0,0.9,456,0.7045454545454546,0.954109589041096,0.0038461538461538494,73,26
1,4.0,0.9,789,0.7060606060606062,0.956164383561644,0.0038461538461538494,73,26
2,0.0,0.5,0,0.7075000000000001,0.9852112676056338,0.02758620689655173,71,29
2,0.0,0.5,42,0.7080000000000001,0.9859154929577467,0.02758620689655173,71,29
2,0.0,0.5,123,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
2,0.0,0.5,456,0.7040404040404042,0.9842857142857143,0.02758620689655173,70,29
2,0.0,0.5,789,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
2,0.0,0.7,0,0.7075000000000001,0.9770833333333333,0.01428571428571429,72,28
2,0.0,0.7,42,0.7080000000000001,0.9777777777777779,0.01428571428571429,72,28
2,0.0,0.7,123,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
2,0.0,0.7,456,0.7040404040404042,0.9760563380281692,0.01428571428571429,71,28
2,0.0,0.7,789,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
2,0.0,0.9,0,0.7075000000000001,0.9547297297297298,0.0038461538461538494,74,26
2,0.0,0.9,42,0.7080000000000001,0.9554054054054054,0.0038461538461538494,74,26
2,0.0,0.9,123,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
2,0.0,0.9,456,0.7040404040404042,0.9534246575342467,0.0038461538461538494,73,26
2,0.0,0.9,789,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
2,0.25,0.5,0,0.7075000000000001,0.9852112676056338,0.02758620689655173,71,29
2,0.25,0.5,42,0.7080000000000001,0.9859154929577467,0.02758620689655173,71,29
2,0.25,0.5,123,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
2,0.25,0.5,456,0.7040404040404042,0.9842857142857143,0.02758620689655173,70,29
2,0.25,0.5,789,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
2,0.25,0.7,0,0.7075000000000001,0.9770833333333333,0.01428571428571429,72,28
2,0.25,0.7,42,0.7080000000000001,0.9777777777777779,0.01428571428571429,72,28
2,0.25,0.7,123,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
2,0.25,0.7,456,0.7040404040404042,0.9760563380281692,0.01428571428571429,71,28
2,0.25,0.7,789,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
2,0.25,0.9,0,0.7075000000000001,0.9547297297297298,0.0038461538461538494,74,26
2,0.25,0.9,42,0.7080000000000001,0.9554054054054054,0.0038461538461538494,74,26
2,0.25,0.9,123,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
2,0.25,0.9,456,0.7040404040404042,0.9534246575342467,0.0038461538461538494,73,26
2,0.25,0.9,789,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
2,0.5,0.5,0,0.7075000000000001,0.9852112676056338,0.02758620689655173,71,29
2,0.5,0.5,42,0.7080000000000001,0.9859154929577467,0.02758620689655173,71,29
2,0.5,0.5,123,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
2,0.5,0.5,456,0.7040404040404042,0.9842857142857143,0.02758620689655173,70,29
2,0.5,0.5,789,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
2,0.5,0.7,0,0.7075000000000001,0.9770833333333333,0.01428571428571429,72,28
2,0.5,0.7,42,0.7080000000000001,0.9777777777777779,0.01428571428571429,72,28
2,0.5,0.7,123,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
2,0.5,0.7,456,0.7040404040404042,0.9760563380281692,0.01428571428571429,71,28
2,0.5,0.7,789,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
2,0.5,0.9,0,0.7075000000000001,0.9547297297297298,0.0038461538461538494,74,26
2,0.5,0.9,42,0.7080000000000001,0.9554054054054054,0.0038461538461538494,74,26
2,0.5,0.9,123,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
2,0.5,0.9,456,0.7040404040404042,0.9534246575342467,0.0038461538461538494,73,26
2,0.5,0.9,789,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
2,1.0,0.5,0,0.7075000000000001,0.9852112676056338,0.02758620689655173,71,29
2,1.0,0.5,42,0.7080000000000001,0.9859154929577467,0.02758620689655173,71,29
2,1.0,0.5,123,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
2,1.0,0.5,456,0.7040404040404042,0.9842857142857143,0.02758620689655173,70,29
2,1.0,0.5,789,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
2,1.0,0.7,0,0.7075000000000001,0.9770833333333333,0.01428571428571429,72,28
2,1.0,0.7,42,0.7080000000000001,0.9777777777777779,0.01428571428571429,72,28
2,1.0,0.7,123,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
2,1.0,0.7,456,0.7040404040404042,0.9760563380281692,0.01428571428571429,71,28
2,1.0,0.7,789,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
2,1.0,0.9,0,0.7075000000000001,0.9547297297297298,0.0038461538461538494,74,26
2,1.0,0.9,42,0.7080000000000001,0.9554054054054054,0.0038461538461538494,74,26
2,1.0,0.9,123,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
2,1.0,0.9,456,0.7040404040404042,0.9534246575342467,0.0038461538461538494,73,26
2,1.0,0.9,789,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
2,2.0,0.5,0,0.7075000000000001,0.9852112676056338,0.02758620689655173,71,29
2,2.0,0.5,42,0.7080000000000001,0.9859154929577467,0.02758620689655173,71,29
2,2.0,0.5,123,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
2,2.0,0.5,456,0.7040404040404042,0.9842857142857143,0.02758620689655173,70,29
2,2.0,0.5,789,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
2,2.0,0.7,0,0.7075000000000001,0.9770833333333333,0.01428571428571429,72,28
2,2.0,0.7,42,0.7080000000000001,0.9777777777777779,0.01428571428571429,72,28
2,2.0,0.7,123,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
2,2.0,0.7,456,0.7040404040404042,0.9760563380281692,0.01428571428571429,71,28
2,2.0,0.7,789,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
2,2.0,0.9,0,0.7075000000000001,0.9547297297297298,0.0038461538461538494,74,26
2,2.0,0.9,42,0.7080000000000001,0.9554054054054054,0.0038461538461538494,74,26
2,2.0,0.9,123,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
2,2.0,0.9,456,0.7040404040404042,0.9534246575342467,0.0038461538461538494,73,26
2,2.0,0.9,789,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
2,4.0,0.5,0,0.7075000000000001,0.9852112676056338,0.02758620689655173,71,29
2,4.0,0.5,42,0.7080000000000001,0.9859154929577467,0.02758620689655173,71,29
2,4.0,0.5,123,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
2,4.0,0.5,456,0.7040404040404042,0.9842857142857143,0.02758620689655173,70,29
2,4.0,0.5,789,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
2,4.0,0.7,0,0.7075000000000001,0.9770833333333333,0.01428571428571429,72,28
2,4.0,0.7,42,0.7080000000000001,0.9777777777777779,0.01428571428571429,72,28
2,4.0,0.7,123,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
2,4.0,0.7,456,0.7040404040404042,0.9760563380281692,0.01428571428571429,71,28
2,4.0,0.7,789,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
2,4.0,0.9,0,0.7075000000000001,0.9547297297297298,0.0038461538461538494,74,26
2,4.0,0.9,42,0.7080000000000001,0.9554054054054054,0.0038461538461538494,74,26
2,4.0,0.9,123,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
2,4.0,0.9,456,0.7040404040404042,0.9534246575342467,0.0038461538461538494,73,26
2,4.0,0.9,789,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
4,0.0,0.5,0,0.7070000000000001,0.9845070422535213,0.02758620689655173,71,29
4,0.0,0.5,42,0.7080000000000001,0.9859154929577467,0.02758620689655173,71,29
4,0.0,0.5,123,0.7065,0.9838028169014086,0.02758620689655173,71,29
4,0.0,0.5,456,0.7065,0.9838028169014086,0.02758620689655173,71,29
4,0.0,0.5,789,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
4,0.0,0.7,0,0.7070000000000001,0.9763888888888889,0.01428571428571429,72,28
4,0.0,0.7,42,0.7080000000000001,0.9777777777777779,0.01428571428571429,72,28
4,0.0,0.7,123,0.7065,0.9756944444444444,0.01428571428571429,72,28
4,0.0,0.7,456,0.7065,0.9756944444444444,0.01428571428571429,72,28
4,0.0,0.7,789,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
4,0.0,0.9,0,0.7070000000000001,0.9540540540540542,0.0038461538461538494,74,26
4,0.0,0.9,42,0.7080000000000001,0.9554054054054054,0.0038461538461538494,74,26
4,0.0,0.9,123,0.7065,0.9533783783783786,0.0038461538461538494,74,26
4,0.0,0.9,456,0.7065,0.9533783783783786,0.0038461538461538494,74,26
4,0.0,0.9,789,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
4,0.25,0.5,0,0.7070000000000001,0.9845070422535213,0.02758620689655173,71,29
4,0.25,0.5,42,0.7080000000000001,0.9859154929577467,0.02758620689655173,71,29
4,0.25,0.5,123,0.7065,0.9838028169014086,0.02758620689655173,71,29
4,0.25,0.5,456,0.7065,0.9838028169014086,0.02758620689655173,71,29
4,0.25,0.5,789,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
4,0.25,0.7,0,0.7070000000000001,0.9763888888888889,0.01428571428571429,72,28
4,0.25,0.7,42,0.7080000000000001,0.9777777777777779,0.01428571428571429,72,28
4,0.25,0.7,123,0.7065,0.9756944444444444,0.01428571428571429,72,28
4,0.25,0.7,456,0.7065,0.9756944444444444,0.01428571428571429,72,28
4,0.25,0.7,789,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
4,0.25,0.9,0,0.7070000000000001,0.9540540540540542,0.0038461538461538494,74,26
4,0.25,0.9,42,0.7080000000000001,0.9554054054054054,0.0038461538461538494,74,26
4,0.25,0.9,123,0.7065,0.9533783783783786,0.0038461538461538494,74,26
4,0.25,0.9,456,0.7065,0.9533783783783786,0.0038461538461538494,74,26
4,0.25,0.9,789,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
4,0.5,0.5,0,0.7070000000000001,0.9845070422535213,0.02758620689655173,71,29
4,0.5,0.5,42,0.7080000000000001,0.9859154929577467,0.02758620689655173,71,29
4,0.5,0.5,123,0.7065,0.9838028169014086,0.02758620689655173,71,29
4,0.5,0.5,456,0.7065,0.9838028169014086,0.02758620689655173,71,29
4,0.5,0.5,789,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
4,0.5,0.7,0,0.7070000000000001,0.9763888888888889,0.01428571428571429,72,28
4,0.5,0.7,42,0.7080000000000001,0.9777777777777779,0.01428571428571429,72,28
4,0.5,0.7,123,0.7065,0.9756944444444444,0.01428571428571429,72,28
4,0.5,0.7,456,0.7065,0.9756944444444444,0.01428571428571429,72,28
4,0.5,0.7,789,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
4,0.5,0.9,0,0.7070000000000001,0.9540540540540542,0.0038461538461538494,74,26
4,0.5,0.9,42,0.7080000000000001,0.9554054054054054,0.0038461538461538494,74,26
4,0.5,0.9,123,0.7065,0.9533783783783786,0.0038461538461538494,74,26
4,0.5,0.9,456,0.7065,0.9533783783783786,0.0038461538461538494,74,26
4,0.5,0.9,789,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
4,1.0,0.5,0,0.7070000000000001,0.9845070422535213,0.02758620689655173,71,29
4,1.0,0.5,42,0.7080000000000001,0.9859154929577467,0.02758620689655173,71,29
4,1.0,0.5,123,0.7065,0.9838028169014086,0.02758620689655173,71,29
4,1.0,0.5,456,0.7065,0.9838028169014086,0.02758620689655173,71,29
4,1.0,0.5,789,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
4,1.0,0.7,0,0.7070000000000001,0.9763888888888889,0.01428571428571429,72,28
4,1.0,0.7,42,0.7080000000000001,0.9777777777777779,0.01428571428571429,72,28
4,1.0,0.7,123,0.7065,0.9756944444444444,0.01428571428571429,72,28
4,1.0,0.7,456,0.7065,0.9756944444444444,0.01428571428571429,72,28
4,1.0,0.7,789,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
4,1.0,0.9,0,0.7070000000000001,0.9540540540540542,0.0038461538461538494,74,26
4,1.0,0.9,42,0.7080000000000001,0.9554054054054054,0.0038461538461538494,74,26
4,1.0,0.9,123,0.7065,0.9533783783783786,0.0038461538461538494,74,26
4,1.0,0.9,456,0.7065,0.9533783783783786,0.0038461538461538494,74,26
4,1.0,0.9,789,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
4,2.0,0.5,0,0.7070000000000001,0.9845070422535213,0.02758620689655173,71,29
4,2.0,0.5,42,0.7080000000000001,0.9859154929577467,0.02758620689655173,71,29
4,2.0,0.5,123,0.7065,0.9838028169014086,0.02758620689655173,71,29
4,2.0,0.5,456,0.7065,0.9838028169014086,0.02758620689655173,71,29
4,2.0,0.5,789,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
4,2.0,0.7,0,0.7070000000000001,0.9763888888888889,0.01428571428571429,72,28
4,2.0,0.7,42,0.7080000000000001,0.9777777777777779,0.01428571428571429,72,28
4,2.0,0.7,123,0.7065,0.9756944444444444,0.01428571428571429,72,28
4,2.0,0.7,456,0.7065,0.9756944444444444,0.01428571428571429,72,28
4,2.0,0.7,789,0.7090000000000001,0.9791666666666666,0.01428571428571429,72,28
4,2.0,0.9,0,0.7070000000000001,0.9540540540540542,0.0038461538461538494,74,26
4,2.0,0.9,42,0.7080000000000001,0.9554054054054054,0.0038461538461538494,74,26
4,2.0,0.9,123,0.7065,0.9533783783783786,0.0038461538461538494,74,26
4,2.0,0.9,456,0.7065,0.9533783783783786,0.0038461538461538494,74,26
4,2.0,0.9,789,0.7090000000000001,0.9567567567567568,0.0038461538461538494,74,26
4,4.0,0.5,0,0.7070000000000001,0.9845070422535213,0.02758620689655173,71,29
4,4.0,0.5,42,0.7080000000000001,0.9859154929577467,0.02758620689655173,71,29
4,4.0,0.5,123,0.7065,0.9838028169014086,0.02758620689655173,71,29
4,4.0,0.5,456,0.7065,0.9838028169014086,0.02758620689655173,71,29
4,4.0,0.5,789,0.7090000000000001,0.987323943661972,0.02758620689655173,71,29
4,4.0,0.7,0,0.7070000000000001,0.9763888888888889,0.01428571428571429,72,28
4,4.0,0.7,42,0.7080000000000001,0.9777777777777779,0.01428571428571429,72,28
4,4.0,0.7,123,0.7065,0.9756944444444444,0.01428571428571429,72,28
