N,w_ratio,r_min,reliability,resolution,uncertainty,brier_from_decomp,brier_direct,n_obs
1,0.0,0.5,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.0,0.7,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.0,0.9,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.25,0.5,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.25,0.7,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.25,0.9,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.5,0.5,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.5,0.7,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,0.5,0.9,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,1.0,0.5,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,1.0,0.7,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,1.0,0.9,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,2.0,0.5,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,2.0,0.7,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,2.0,0.9,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,4.0,0.5,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,4.0,0.7,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
1,4.0,0.9,0.39648999758791936,0.03876045895659399,0.20247599999999996,0.5602055386313254,0.5510974771196341,500
2,0.0,0.5,0.3464300887833554,0.05728440160642572,0.21158399999999997,0.5007296871769297,0.493484564916622,500
2,0.0,0.7,0.3464300887833554,0.05728440160642572,0.21158399999999997,0.5007296871769297,0.493484564916622,500
2,0.0,0.9,0.3464300887833554,0.05728440160642572,0.21158399999999997,0.5007296871769297,0.493484564916622,500
2,0.25,0.5,0.34756318855299617,0.05728440160642572,0.21158399999999997,0.5018627869465704,0.494617560624822,500
2,0.25,0.7,0.3522793910943424,0.05719585590515277,0.21158399999999997,0.5066675351891896,0.49936768212840194,500
2,0.25,0.9,0.3444336075234667,0.04304452791931421,0.21158399999999997,0.5129730796041525,0.503096214709676,500
2,0.5,0.5,0.34756318855299617,0.05728440160642572,0.21158399999999997,0.5018627869465704,0.494617560624822,500
2,0.5,0.7,0.36509062242736307,0.055193516696895345,0.21158399999999997,0.5214811057304677,0.5138765140382799,500
2,0.5,0.9,0.3510590730875288,0.035179516467456554,0.21158399999999997,0.5274635566200723,0.516568996353954,500
2,1.0,0.5,0.3483417485803987,0.05674098217223135,0.21158399999999997,0.5031847664081673,0.49578181068690197,500
2,1.0,0.7,0.36865385077189183,0.053071620752595694,0.21158399999999997,0.5271662300192961,0.519239716626786,500
2,1.0,0.9,0.37031834810334713,0.035274658052181364,0.20673599999999998,0.5417796900511658,0.530702801017912,500
2,2.0,0.5,0.3483417485803987,0.05674098217223135,0.21158399999999997,0.5031847664081673,0.49578181068690197,500
2,2.0,0.7,0.36865385077189183,0.053071620752595694,0.21158399999999997,0.5271662300192961,0.519239716626786,500
2,2.0,0.9,0.37031834810334713,0.035274658052181364,0.20673599999999998,0.5417796900511658,0.530702801017912,500
2,4.0,0.5,0.3483417485803987,0.05674098217223135,0.21158399999999997,0.5031847664081673,0.49578181068690197,500
2,4.0,0.7,0.36865385077189183,0.053071620752595694,0.21158399999999997,0.5271662300192961,0.519239716626786,500
2,4.0,0.9,0.37031834810334713,0.035274658052181364,0.20673599999999998,0.5417796900511658,0.530702801017912,500
4,0.0,0.5,0.31307947759585764,0.08525300299360251,0.219024,0.44685047460225513,0.441864529444642,500
4,0.0,0.7,0.31307947759585764,0.08525300299360251,0.219024,0.44685047460225513,0.441864529444642,500
4,0.0,0.9,0.31307947759585764,0.08525300299360251,0.219024,0.44685047460225513,0.441864529444642,500
4,0.25,0.5,0.31397636643743865,0.08525300299360251,0.219024,0.44774736344383614,0.442764076912516,500
4,0.25,0.7,0.32969604224454674,0.08515573866037643,0.219024,0.46356430358417033,0.45851180495699806,500
4,0.25,0.9,0.3072092543606819,0.05639770554669639,0.219024,0.46983554881398554,0.45939035686766394,500
4,0.5,0.5,0.31397636643743865,0.08525300299360251,0.219024,0.44774736344383614,0.442764076912516,500
4,0.5,0.7,0.3389293850025862,0.08247732212826306,0.219024,0.4754760628743231,0.469978760014998,500
4,0.5,0.9,0.3257718218195644,0.03726688972676069,0.219024,0.5075289320928037,0.49487809378711006,500
4,1.0,0.5,0.31456005191808406,0.08447240456176115,0.219024,0.4491116473563229,0.443928326974596,500
4,1.0,0.7,0.3419724139803075,0.07869742835203287,0.219024,0.4822989856282746,0.476291740266362,500
4,1.0,0.9,0.35480236385230274,0.03152606349206349,0.21158399999999997,0.5348603003602392,0.5216336965168941,500
4,2.0,0.5,0.31456005191808406,0.08447240456176115,0.219024,0.4491116473563229,0.443928326974596,500
4,2.0,0.7,0.3419724139803075,0.07869742835203287,0.219024,0.4822989856282746,0.476291740266362,500
4,2.0,0.9,0.35480236385230274,0.03152606349206349,0.21158399999999997,0.5348603003602392,0.5216336965168941,500
4,4.0,0.5,0.31456005191808406,0.08447240456176115,0.219024,0.4491116473563229,0.443928326974596,500
4,4.0,0.7,0.3419724139803075,0.07869742835203287,0.219024,0.4822989856282746,0.476291740266362,500
4,4.0,0.9,0.35480236385230274,0.03152606349206349,0.21158399999999997,0.5348603003602392,0.5216336965168941,500
8,0.0,0.5,0.2766093779570507,0.10388385298307597,0.225664,0.39838952497397473,0.394675311898256,500
8,0.0,0.7,0.2766093779570507,0.10388385298307597,0.225664,0.39838952497397473,0.394675311898256,500
8,0.0,0.9,0.2766093779570507,0.10388385298307597,0.225664,0.39838952497397473,0.394675311898256,500
8,0.25,0.5,0.2787476369019344,0.10387432917355217,0.225664,0.40053730772838225,0.396822001489486,500
8,0.25,0.7,0.3015216859149033,0.10368436426015824,0.225664,0.4235013216547451,0.41953167089849397,500
8,0.25,0.9,0.27334599758457595,0.0737112126370677,0.225664,0.4252987849475083,0.41565221537696,500
8,0.5,0.5,0.2795918846652136,0.10377131106490026,0.225664,0.40148457360031337,0.397753737882046,500
8,0.5,0.7,0.3156937133391,0.1026337383561048,0.225664,0.4387239749829952,0.43452711706471403,500
8,0.5,0.9,0.30527313709187254,0.04124010058300166,0.225664,0.48969703650887086,0.475940362033906,500
8,1.0,0.5,0.2800056060348077,0.10279066509280022,0.225664,0.4028789409420075,0.398917987944126,500
8,1.0,0.7,0.31971996529979996,0.09755723711340207,0.22503599999999999,0.44719872818639783,0.44225160764788407,500
8,1.0,0.9,0.3435473804127562,0.023746450142450144,0.21540399999999998,0.535204930270306,0.5199037285097821,500
8,2.0,0.5,0.2800056060348077,0.10279066509280022,0.225664,0.4028789409420075,0.398917987944126,500
8,2.0,0.7,0.31971996529979996,0.09755723711340207,0.22503599999999999,0.44719872818639783,0.44225160764788407,500
8,2.0,0.9,0.3435473804127562,0.023746450142450144,0.21540399999999998,0.535204930270306,0.5199037285097821,500
8,4.0,0.5,0.2800056060348077,0.10279066509280022,0.225664,0.4028789409420075,0.398917987944126,500
8,4.0,0.7,0.31971996529979996,0.09755723711340207,0.22503599999999999,0.44719872818639783,0.44225160764788407,500
8,4.0,0.9,0.3435473804127562,0.023746450142450144,0.21540399999999998,0.535204930270306,0.5199037285097821,500
16,0.0,0.5,0.2377324904061184,0.13906317657524064,0.234124,0.33279331383087773,0.330357443672168,500
16,0.0,0.7,0.2377324904061184,0.13906317657524064,0.234124,0.33279331383087773,0.330357443672168,500
16,0.0,0.9,0.2377324904061184,0.13906317657524064,0.234124,0.33279331383087773,0.330357443672168,500
16,0.25,0.5,0.2428226628516399,0.13906090384796793,0.234124,0.33788575900367196,0.33545699755178,500
16,0.25,0.7,0.26789609243169665,0.1386506655581421,0.234124,0.36336942687355456,0.360568040111004,500
16,0.25,0.9,0.2266611219649062,0.1052593681774874,0.234124,0.3555257537874188,0.34740120718519396,500
16,0.5,0.5,0.24358823444432923,0.1388276939061382,0.234124,0.33888454053819106,0.33643194353979,500
16,0.5,0.7,0.286779130668272,0.13463805171533794,0.234124,0.38626507895293405,0.38306485923794403,500
16,0.5,0.9,0.265687893907088,0.05013555624036979,0.234124,0.4496763376667182,0.433362061525096,500
16,1.0,0.5,0.24358823444432923,0.1388276939061382,0.234124,0.33888454053819106,0.33643194353979,500
16,1.0,0.7,0.28903434898479774,0.12541763109491583,0.233616,0.3972327178898819,0.39388527871656404,500
16,1.0,0.9,0.3282304833199208,0.019657558945908458,0.2211,0.5296729243740123,0.5113962007758001,500
16,2.0,0.5,0.24358823444432923,0.1388276939061382,0.234124,0.33888454053819106,0.33643194353979,500
16,2.0,0.7,0.28903434898479774,0.12541763109491583,0.233616,0.3972327178898819,0.39388527871656404,500
16,2.0,0.9,0.3282304833199208,0.019657558945908458,0.2211,0.5296729243740123,0.5113962007758001,500
16,4.0,0.5,0.24358823444432923,0.1388276939061382,0.234124,0.33888454053819106,0.33643194353979,500
16,4.0,0.7,0.28903434898479774,0.12541763109491583,0.233616,0.3972327178898819,0.39388527871656404,500
16,4.0,0.9,0.3282304833199208,0.019657558945908458,0.2211,0.5296729243740123,0.5113962007758001,500
32,0.0,0.5,0.2138078410233549,0.1759254172047158,0.237456,0.2753384238186391,0.273949454724788,500
32,0.0,0.7,0.2138078410233549,0.1759254172047158,0.237456,0.2753384238186391,0.273949454724788,500
32,0.0,0.9,0.2138078410233549,0.1759254172047158,0.237456,0.2753384238186391,0.273949454724788,500
32,0.25,0.5,0.22208469821239737,0.17590136415498678,0.237456,0.2836393340574106,0.282226689521256,500
32,0.25,0.7,0.2505188091702321,0.17480241477699554,0.237456,0.3131723943932366,0.311056738275448,500
32,0.25,0.9,0.19951402047688205,0.14642339271938284,0.237456,0.2905466277574992,0.284456826114398,500
32,0.5,0.5,0.22381618428337186,0.17588184152912395,0.237456,0.2853903427542479,0.283963634700238,500
32,0.5,0.7,0.2848137678670242,0.16927201427028257,0.237456,0.3529977535967417,0.3503029158063,500
32,0.5,0.9,0.22625688336212987,0.06324929004329005,0.237456,0.40046359331883985,0.38205625276033395,500
32,1.0,0.5,0.22381618428337186,0.17588184152912395,0.237456,0.2853903427542479,0.283963634700238,500
32,1.0,0.7,0.28697262169258175,0.15184899887826717,0.2356,0.3707236228143146,0.367685400268584,500
32,1.0,0.9,0.32761542101445107,0.020513089201877936,0.221776,0.5288783318125732,0.508506484019344,500
32,2.0,0.5,0.22381618428337186,0.17588184152912395,0.237456,0.2853903427542479,0.283963634700238,500
32,2.0,0.7,0.28697262169258175,0.15184899887826717,0.2356,0.3707236228143146,0.367685400268584,500
32,2.0,0.9,0.32761542101445107,0.020513089201877936,0.221776,0.5288783318125732,0.508506484019344,500
32,4.0,0.5,0.22381618428337186,0.17588184152912395,0.237456,0.2853903427542479,0.283963634700238,500
32,4.0,0.7,0.28697262169258175,0.15184899887826717,0.2356,0.3707236228143146,0.367685400268584,500
32,4.0,0.9,0.32761542101445107,0.020513089201877936,0.221776,0.5288783318125732,0.508506484019344,500
